ppt_ID,strmMap_id,upSlp_acre,wshed_name,imputed_sm,imputedPpt,base_fc,conf
556,530,12120,Upper Methow,0,556,5.64569000000,10
599,0,401,,5,1157,2.04010000000,5
610,0,347,,4,1557,17.89640000000,4
638,565,3310,Upper Methow,0,638,13.09120000000,10
580,0,31153,,1,4221,34.94470000000,1
591,0,972,,4,543,0.00000000000,4
501,1003,52863,Upper Methow,0,501,20.97000000000,10
615,1029,3856,Upper Methow,0,615,22.25700000000,10
570,0,7155,,1,975,32.44650000000,2
593,0,528,,1,334,19.92420000000,4
590,0,458,,1,258,2.98692000000,5
617,0,703,,1,116,2.00000000000,4
516,0,230528,,1,1397,28.00230000000,2
620,0,2276,,1,206,3.01966000000,2
621,0,25160,,2,2134,16.80310000000,2
622,0,439,,6,2380,17.91810000000,5
543,650,971,Upper Methow,0,543,2.00000000000,10
581,649,2751,Upper Methow,0,581,1.80936000000,10
624,0,41722,,4,336,14.39020000000,4
613,1052,57385,Upper Methow,0,613,21.10130000000,10
607,1019,3157,Upper Methow,0,607,21.07790000000,10
628,1123,3249,Upper Methow,0,628,24.13250000000,10
629,1053,583,Upper Methow,0,629,28.00000000000,10
630,0,508,,1,4670,30.23660000000,4
594,0,41203,,4,291,14.40160000000,4
633,0,388,,2,2438,30.84050000000,3
641,1044,1097,Upper Methow,0,641,22.00000000000,10
632,987,565,Upper Methow,0,632,10.00000000000,10
625,0,488,,1,5268,0.00000000000,4
642,0,713,,1,190,42.11800000000,4
618,0,7782,,1,3714,31.54870000000,2
577,1316,4125,Upper Methow,0,577,23.38000000000,10
645,0,1448,,1,114,4.00552000000,3
646,1404,406,Upper Methow,0,646,0.00000000000,10
648,0,451,,1,118,33.84940000000,5
650,0,618,,4,1478,20.00000000000,4
614,0,32569,,1,4504,33.96270000000,1
631,0,1470,,1,4288,2.32837000000,3
612,0,1092,,1,282,6.43601000000,4
597,1393,1218,Upper Methow,0,597,5.64344000000,10
520,0,1499,,1,5552,8.00000000000,3
660,0,1273,,4,122,19.11960000000,4
655,1413,439,Upper Methow,0,655,24.70710000000,10
658,0,736,,1,931,18.94840000000,4
584,0,859,,4,790,7.16392000000,4
654,0,2405,,4,1138,14.18100000000,4
611,627,70340,Upper Methow,0,611,15.81530000000,10
699,614,4972,Upper Methow,0,699,17.29960000000,10
623,0,272723,,1,1868,25.91500000000,2
541,878,1214,Upper Methow,0,541,32.05280000000,10
554,877,1406,Upper Methow,0,554,30.95600000000,10
539,783,22692,Upper Methow,0,539,4.44278000000,10
643,560,654,Upper Methow,0,643,18.00000000000,10
651,784,3916,Upper Methow,0,651,6.25195000000,10
668,586,1706,Upper Methow,0,668,8.01208000000,10
512,1144,10898,Upper Methow,0,512,16.25390000000,10
670,620,346,Upper Methow,0,670,7.00000000000,10
661,627,75944,Upper Methow,0,661,15.93300000000,10
627,1143,61347,Upper Methow,0,627,21.30700000000,10
674,0,4541,,1,664,7.84840000000,2
671,0,348,,1,279,4.02302000000,2
636,0,178284,,1,1262,29.99330000000,1
659,0,3477,,1,5007,11.57870000000,2
678,0,4973,,1,484,7.44814000000,2
666,0,594,,4,813,26.08770000000,4
681,0,2038,,2,1020,34.73980000000,2
682,0,22612,,4,1163,15.20370000000,4
683,0,353,,1,905,1.00000000000,6
694,0,2591,,4,888,0.00000000000,4
673,651,76580,Upper Methow,0,673,15.90120000000,10
687,1426,753,Upper Methow,0,687,25.00000000000,10
647,1367,5090,Upper Methow,0,647,21.77200000000,10
672,1188,72346,Upper Methow,0,672,20.54980000000,10
689,685,957,Upper Methow,0,689,7.00000000000,10
693,1224,2243,Upper Methow,0,693,41.03660000000,10
657,1377,500,Upper Methow,0,657,3.00000000000,10
634,0,1094,,1,282,21.00000000000,4
690,1378,5906,Upper Methow,0,690,22.22710000000,10
696,0,177053,,1,1262,29.98570000000,1
698,0,1102,,1,5544,30.94380000000,4
662,0,515,,6,1947,10.00000000000,6
675,0,384,,5,2048,0.00000000000,5
518,763,17465,Upper Methow,0,518,4.18671000000,10
701,0,1040,,4,6288,3.00949000000,4
702,0,176482,,1,1262,30.04860000000,1
663,1237,538,Upper Methow,0,663,11.00000000000,10
691,1236,75151,Upper Methow,0,691,21.19240000000,10
626,762,4178,Upper Methow,0,626,2.09295000000,10
676,700,393,Upper Methow,0,676,6.00000000000,10
708,701,78770,Upper Methow,0,708,15.79620000000,10
688,690,78164,Upper Methow,0,688,15.80990000000,10
700,730,79420,Upper Methow,0,700,15.75550000000,10
707,747,478,Upper Methow,0,707,12.94570000000,10
602,1281,21050,Upper Methow,0,602,14.48670000000,10
703,1282,382,Upper Methow,0,703,9.00000000000,10
888,833,2594,Upper Methow,0,888,0.00000000000,10
652,0,33722,,2,819,33.78100000000,2
705,0,44574,,4,370,21.48160000000,4
616,0,976,,6,1231,35.00000000000,8
711,0,78572,,2,708,26.79920000000,2
713,0,492,,2,1331,2.00000000000,4
714,0,459,,6,4567,4.00000000000,6
684,1012,609,Upper Methow,0,684,13.00000000000,10
685,897,1362,Upper Methow,0,685,24.00000000000,10
717,785,85185,Upper Methow,0,717,15.47020000000,10
719,1021,685,Upper Methow,0,719,7.02045000000,10
720,940,403,Upper Methow,0,720,33.16400000000,10
709,769,82905,Upper Methow,0,709,15.28460000000,10
723,0,21235,,4,1137,14.19160000000,4
692,1538,402,Upper Methow,0,692,12.06440000000,10
724,0,1099,,5,5385,35.00000000000,5
725,797,1663,Upper Methow,0,725,23.71230000000,10
669,0,618,,2,1344,39.12640000000,4
726,1549,2361,Upper Methow,0,726,27.50780000000,10
728,0,17111,,4,1121,19.44940000000,4
710,1317,21629,Upper Methow,0,710,14.43090000000,10
732,0,42272,,4,336,20.28710000000,4
677,0,278370,,1,1914,25.58440000000,2
731,1637,723,Upper Methow,0,731,23.81890000000,10
734,1371,545,Upper Methow,0,734,21.07710000000,10
736,0,1116,,4,1890,59.78780000000,4
738,1606,880,Upper Methow,0,738,30.92970000000,10
697,0,2784,,5,1951,6.69356000000,5
679,0,4414,,4,392,10.90880000000,4
706,1283,76306,Upper Methow,0,706,21.14840000000,10
739,0,8478,,6,1364,19.92990000000,9
566,0,20284,,5,1638,19.08010000000,6
747,0,539,,1,367,0.99629300000,4
741,1300,666,Upper Methow,0,741,41.00000000000,10
619,0,1826,,4,1652,32.03500000000,4
742,0,13976,,6,1088,18.79770000000,9
743,0,21868,,5,2086,21.37120000000,5
744,1216,1393,Upper Methow,0,744,18.09280000000,10
727,615,444,Upper Methow,0,727,4.01804000000,10
729,0,12074,,5,556,16.79600000000,6
745,0,2781,,5,1376,22.45390000000,6
746,0,20683,,4,188,13.89290000000,4
748,1373,947,Upper Methow,0,748,30.93460000000,10
749,653,397,Upper Methow,0,749,3.00000000000,10
712,0,80315,,2,700,26.95360000000,2
750,0,377,,1,474,31.00000000000,6
752,1030,1538,Upper Methow,0,752,10.70430000000,10
568,1013,5619,Upper Methow,0,568,26.18880000000,10
753,677,597,Upper Methow,0,753,9.00000000000,10
755,667,3220,Upper Methow,0,755,18.13630000000,10
756,0,1610,,4,1057,0.00000000000,4
649,0,9893,,1,1173,32.01260000000,2
762,0,524,,1,257,28.10690000000,4
730,0,529,,1,334,17.86410000000,4
758,0,952,,5,1231,36.07560000000,5
759,0,494,,5,1092,34.00000000000,5
760,0,734,,5,5399,58.00000000000,5
761,0,354,,4,4743,63.63900000000,4
716,0,19441,,4,1638,20.39190000000,4
686,0,3946,,4,1113,9.66820000000,4
769,693,2834,Upper Methow,0,769,16.97780000000,10
765,668,364,Upper Methow,0,765,27.14860000000,10
770,0,1205,,5,5425,47.15610000000,5
767,0,20698,,5,2086,21.95790000000,5
718,1543,3839,Upper Methow,0,718,23.40830000000,10
656,1542,2459,Upper Methow,0,656,9.87403000000,10
