FID,ppt_ID,strmMap_id,upSlp_acre,wshed_name,imputed_sm,imputedPpt,base_fc,conf
469,682,0,22612, ,4,1430,15.2037001,4
470,683,0,353, ,1,4743,1.0000000,6
471,694,0,2591, ,4,1050,0.0000000,4
472,673,651,76580,Upper Methow,0,5196,15.9012003,10
473,687,1426,753,Upper Methow,0,687,25.0000000,10
474,647,1367,5090,Upper Methow,0,647,21.7719994,10
475,672,1188,72346,Upper Methow,0,672,20.5498009,10
476,689,685,957,Upper Methow,0,1339,7.0000000,10
477,693,1224,2243,Upper Methow,0,693,41.0365982,10
478,657,1377,500,Upper Methow,0,657,3.0000000,10
479,634,0,1094, ,1,641,21.0000000,4
480,690,1378,5906,Upper Methow,0,690,22.2271004,10
481,696,0,177053, ,1,1262,29.9857006,1
482,698,0,1102, ,1,5544,30.9438000,4
483,662,0,515, ,6,663,10.0000000,6
484,675,0,384, ,5,5154,0.0000000,5
485,518,763,17465,Upper Methow,0,4770,4.1867099,10
486,701,0,1040, ,4,1111,3.0094900,4
487,702,0,176482, ,1,1262,30.0485992,1
488,663,1237,538,Upper Methow,0,663,11.0000000,10
489,691,1236,75151,Upper Methow,0,691,21.1924000,10
490,626,762,4178,Upper Methow,0,921,2.0929501,10
491,676,700,393,Upper Methow,0,703,6.0000000,10
492,708,701,78770,Upper Methow,0,740,15.7961998,10
493,688,690,78164,Upper Methow,0,740,15.8099003,10
494,700,730,79420,Upper Methow,0,740,15.7554998,10
495,707,747,478,Upper Methow,0,5252,12.9456997,10
496,602,1281,21050,Upper Methow,0,602,14.4867001,10
497,703,1282,382,Upper Methow,0,703,9.0000000,10
498,888,833,2594,Upper Methow,0,1919,0.0000000,10
499,652,0,33722, ,2,992,33.7809982,2
500,705,0,44574, ,4,4634,21.4815998,4
501,616,0,976, ,6,1231,35.0000000,8
502,711,0,78572, ,2,740,26.7992001,2
503,713,0,492, ,2,5252,2.0000000,4
504,714,0,459, ,6,4567,4.0000000,6
505,684,1012,609,Upper Methow,0,5115,13.0000000,10
506,685,897,1362,Upper Methow,0,5348,24.0000000,10
507,717,785,85185,Upper Methow,0,5380,15.4701996,10
508,719,1021,685,Upper Methow,0,330,7.0204501,10
509,720,940,403,Upper Methow,0,1037,33.1640015,10
510,709,769,82905,Upper Methow,0,5380,15.2846003,10
511,723,0,21235, ,4,2086,14.1915998,4
512,692,1538,402,Upper Methow,0,692,12.0643997,10
513,724,0,1099, ,5,5385,35.0000000,5
514,725,797,1663,Upper Methow,0,928,23.7122993,10
515,669,0,618, ,2,1257,39.1264000,4
516,726,1549,2361,Upper Methow,0,726,27.5077991,10
517,728,0,17111, ,4,1198,19.4493999,4
518,710,1317,21629,Upper Methow,0,710,14.4308996,10
519,732,0,42272, ,4,4717,20.2870998,4
520,677,0,278370, ,1,1914,25.5844002,2
521,731,1637,723,Upper Methow,0,731,23.8188992,10
522,734,1371,545,Upper Methow,0,734,21.0771008,10
523,736,0,1116, ,4,1890,59.7877998,4
524,738,1606,880,Upper Methow,0,738,30.9297009,10
525,697,0,2784, ,5,1919,6.6935601,5
526,679,0,4414, ,4,4153,10.9088001,4
527,706,1283,76306,Upper Methow,0,706,21.1483994,10
