OID_,ppt_ID,shed,scen,treatment,delta
,4648, ,1,50,0.0000000
,4660, ,1,50,0.0000000
,4664, ,1,50,0.6493410
,4666, ,1,50,0.2735580
,4670, ,1,50,0.0000000
,4671, ,1,50,0.0000000
,4677, ,1,50,3.4214900
,4680, ,1,50,0.0000000
,4681, ,1,50,0.0000000
,4683, ,1,50,1.9663301
,4690, ,1,50,0.7137470
,4700, ,1,50,2.7269499
,4704, ,1,50,1.3698601
,4717, ,1,50,3.2143600
,4721, ,1,50,0.7286360
,4722, ,1,50,0.0000000
,4728, ,1,50,5.2631502
,4732, ,1,50,2.8526299
,4741, ,1,50,1.8919899
,4742, ,1,50,0.7706060
,4743, ,1,50,1.5384600
,4750, ,1,50,0.0000000
,4759, ,1,50,1.3444500
,4770, ,1,50,2.4427199
,4775, ,1,50,0.3197780
,4791, ,1,50,0.0000000
,4792, ,1,50,1.8324800
,4800, ,1,50,0.3192800
,4803, ,1,50,0.7051260
,4821, ,1,50,0.0000000
,4823, ,1,50,0.0000000
,4854, ,1,50,0.8879860
,4858, ,1,50,0.3190300
,4859, ,1,50,1.3033600
,4861, ,1,50,1.5405700
,4873, ,1,50,2.3255799
,4886, ,1,50,1.7665499
,4889, ,1,50,1.6806300
,4890, ,1,50,0.0000000
,4891, ,1,50,9.0665398
,4899, ,1,50,2.9586799
,4901, ,1,50,0.0000000
,4906, ,1,50,3.3683500
,4912, ,1,50,0.0000000
,4920, ,1,50,0.3159750
,4924, ,1,50,0.8904500
,4940, ,1,50,2.7976401
,4956, ,1,50,3.8461399
,4959, ,1,50,0.0000000
,4963, ,1,50,2.7777700
,4964, ,1,50,3.2029901
,4970, ,1,50,0.0000000
,4976, ,1,50,1.5310100
,4984, ,1,50,1.9977700
,4996, ,1,50,0.0000000
,5002, ,1,50,0.3158300
,5005, ,1,50,0.3114210
,5007, ,1,50,2.0603001
,5021, ,1,50,0.3107760
,5023, ,1,50,2.7300200
,5031, ,1,50,0.3112560
,5036, ,1,50,1.6368999
,5040, ,1,50,1.0358800
,5048, ,1,50,0.3105100
,5063, ,1,50,0.0000000
,5068, ,1,50,2.0838599
,5075, ,1,50,1.9267900
,5077, ,1,50,2.7211399
,5078, ,1,50,0.3094990
,5079, ,1,50,1.5565600
,5081, ,1,50,0.0000000
,5082, ,1,50,0.3099830
,5086, ,1,50,0.0000000
,5097, ,1,50,1.1026000
,5098, ,1,50,2.6642101
,5115, ,1,50,2.1703701
,5118, ,1,50,4.2627101
,5121, ,1,50,0.5822690
,5130, ,1,50,2.0022099
,5133, ,1,50,0.4042970
,5137, ,1,50,0.3091810
,5139, ,1,50,1.5350900
,5151, ,1,50,1.0791600
,5152, ,1,50,1.1365300
,5156, ,1,50,0.3088960
,5157, ,1,50,0.0000000
,5159, ,1,50,0.0000000
,5178, ,1,50,0.8303330
,5184, ,1,50,0.0000000
,5196, ,1,50,2.6152201
,5197, ,1,50,0.0000000
,5201, ,1,50,0.0000000
,5205, ,1,50,1.5383600
,5245, ,1,50,1.6161300
,5249, ,1,50,0.7971470
,5251, ,1,50,0.0000000
,5252, ,1,50,0.0000000
,5253, ,1,50,0.8611470
,5254, ,1,50,0.3086420
,5267, ,1,50,0.0000000
,5268, ,1,50,0.0000000
,5281, ,1,50,0.0000000
,5282, ,1,50,1.5200599
,5284, ,1,50,0.0000000
,5286, ,1,50,1.5625000
,5290, ,1,50,0.0000000
,5291, ,1,50,0.6240300
,5293, ,1,50,1.4675400
,5294, ,1,50,0.0000000
,5299, ,1,50,1.6129000
,5300, ,1,50,0.9670650
,5302, ,1,50,1.0687400
,5303, ,1,50,2.8917401
,5304, ,1,50,1.5641900
,5305, ,1,50,0.0000000
,5306, ,1,50,0.0000000
,5310, ,1,50,0.3066550
,5326, ,1,50,1.6687700
,5328, ,1,50,0.6857900
,5340, ,1,50,0.3061670
,5348, ,1,50,1.8748500
,5349, ,1,50,0.8321520
,5350, ,1,50,0.7925200
,5357, ,1,50,0.0000000
,5379, ,1,50,1.8913701
,5380, ,1,50,2.4166100
,5384, ,1,50,1.4514000
,5385, ,1,50,1.1350100
,5386, ,1,50,2.3809500
,5399, ,1,50,0.0000000
,5405, ,1,50,1.4462301
,5406, ,1,50,4.1666598
,5407, ,1,50,0.0000000
,5412, ,1,50,2.2727301
,5414, ,1,50,0.7936650
,5415, ,1,50,2.2578199
,5421, ,1,50,0.2349580
,5425, ,1,50,1.9607800
,5440, ,1,50,1.5728101
,5447, ,1,50,0.4214060
,5460, ,1,50,1.6140300
,5463, ,1,50,0.0000000
,5468, ,1,50,0.8974530
,5469, ,1,50,2.2474201
,5471, ,1,50,0.0000000
,5474, ,1,50,0.1430260
,5476, ,1,50,0.4790070
,5491, ,1,50,0.0000000
,5497, ,1,50,2.2463400
,5504, ,1,50,0.0000000
,5507, ,1,50,2.0800800
,5513, ,1,50,1.4261000
,5520, ,1,50,0.3941790
,5540, ,1,50,2.0000000
,5544, ,1,50,0.7848770
,5545, ,1,50,2.2349801
,5546, ,1,50,1.8353699
,5552, ,1,50,0.0000000
,5556, ,1,50,0.3112010
,5557, ,1,50,0.1429070
,5570, ,1,50,0.1429040
,5605, ,1,50,1.4294300
,5610, ,1,50,0.0000000
,5613, ,1,50,0.0000000
,5631, ,1,50,0.3977110
,5643, ,1,50,1.3307400
,5677, ,1,50,0.0000000
,5679, ,1,50,2.1856101
,5701, ,1,50,2.1681600
,5712, ,1,50,1.6099200
,5744, ,1,50,2.1214700
,5778, ,1,50,1.7749701
,5862, ,1,50,1.3427300
,5864, ,1,50,2.0497401
,5867, ,1,50,1.5411400
,5868, ,1,50,1.5892100
,5884, ,1,50,2.0351901
,5895, ,1,50,1.9548301
,5912, ,1,50,1.4495400
,5918, ,1,50,1.9191000
,5948, ,1,50,1.3499800
,5949, ,1,50,1.7857100
,5992, ,1,50,0.0000000
,6029, ,1,50,1.3429000
,6057, ,1,50,2.0041800
,6058, ,1,50,1.0881799
,6059, ,1,50,0.0000000
,6064, ,1,50,1.9030700
,6093, ,1,50,1.3462100
,6112, ,1,50,1.8742900
,6130, ,1,50,0.0000000
,6179, ,1,50,0.3196660
,6180, ,1,50,0.8779980
,6209, ,1,50,0.0000000
,6210, ,1,50,2.0000000
,6226, ,1,50,1.8302500
,6251, ,1,50,1.3293800
,6268, ,1,50,0.4298340
,6278, ,1,50,1.3325100
,6312, ,1,50,0.4284950
,6313, ,1,50,2.0833299
,6328, ,1,50,1.8145300
,6342, ,1,50,1.7209800
,6427, ,1,50,0.4194500
,6471, ,1,50,1.6849999
,6535, ,1,50,0.4174030
,6583, ,1,50,0.4159590
,6634, ,1,50,1.6069400
,6651, ,1,50,1.5937300
,6688, ,1,50,1.5808200
,6699, ,1,50,0.4139420
,6756, ,1,50,1.5695699
,6808, ,1,50,0.4115650
,6809, ,1,50,0.4092050
,6822, ,1,50,1.5559900
,6829, ,1,50,0.4133910
,6910, ,1,50,0.4071060
,6912, ,1,50,0.4083780
,6926, ,1,50,1.4137100
,6964, ,1,50,0.3783410
,6983, ,1,50,1.4036601
,7013, ,1,50,0.3772260
,7035, ,1,50,1.0288100
,7043, ,1,50,0.3761250
,7070, ,1,50,1.0130700
,7146, ,1,50,0.3754050
,7159, ,1,50,1.0026200
,7170, ,1,50,0.3743840
,7251, ,1,50,0.9999850
,7263, ,1,50,0.3733860
,7292, ,1,50,0.9749580
,7333, ,1,50,0.3711970
,7355, ,1,50,0.9652680
,7384, ,1,50,0.3664390
,7437, ,1,50,0.9021410
,7445, ,1,50,0.3640830
,7480, ,1,50,0.8978670
,7569, ,1,50,0.8928150
,7602, ,1,50,0.8868800
,7605, ,1,50,0.3625690
,7629, ,1,50,0.2747310
,7630, ,1,50,0.2529170
,7652, ,1,50,0.8575090
,7657, ,1,50,0.2750710
,7668, ,1,50,0.8503660
,7684, ,1,50,0.3607410
,7685, ,1,50,0.2761580
,7711, ,1,50,0.2526740
,7712, ,1,50,0.2521680
,7714, ,1,50,0.8467040
,7741, ,1,50,0.8423610
,7749, ,1,50,0.2513850
,7940, ,1,50,0.2505080
,7950, ,1,50,0.2470380
,8049, ,1,50,0.2180800
,8136, ,1,50,0.2174320
,8139, ,1,50,0.2176910
,8175, ,1,50,0.2159540
,8194, ,1,50,0.2138480
,8272, ,1,50,0.2135310
,8273, ,1,50,0.2131120
,8280, ,1,50,0.2128060
,8353, ,1,50,0.2118780
,8396, ,1,50,0.1963940
,8399, ,1,50,0.2100690
,8415, ,1,50,0.1943910
,8584, ,1,50,0.1941100
,8599, ,1,50,0.1936510
,8608, ,1,50,0.1932520
,8701, ,1,50,0.1928640
,8813, ,1,50,0.1921230
,8845, ,1,50,0.1918850
,8852, ,1,50,0.1913350
,8873, ,1,50,0.1904090
,8953, ,1,50,0.1901820
,8991, ,1,50,0.1898980
,9013, ,1,50,0.1894750
,43, ,1,30,0.0000000
,61, ,1,30,0.0000000
,62, ,1,30,0.0000000
,74, ,1,30,0.0000000
,86, ,1,30,0.0000000
,89, ,1,30,0.0000000
,91, ,1,30,0.0000000
,95, ,1,30,0.0000000
,105, ,1,30,0.0645062
,106, ,1,30,0.0366707
,114, ,1,30,0.0000000
,119, ,1,30,0.0808995
,129, ,1,30,6.6666598
,137, ,1,30,0.2378750
,140, ,1,30,11.0172005
,147, ,1,30,0.2181080
,148, ,1,30,0.0000000
,150, ,1,30,0.0000000
,153, ,1,30,2.4044299
,157, ,1,30,4.9334602
,160, ,1,30,0.6609850
,161, ,1,30,2.7569499
,166, ,1,30,0.0000000
,169, ,1,30,0.5766120
,181, ,1,30,6.2500000
,182, ,1,30,0.0000000
,183, ,1,30,0.1888260
,187, ,1,30,0.0000000
,189, ,1,30,0.0000000
,204, ,1,30,8.3570700
,205, ,1,30,0.0000000
,206, ,1,30,2.0016401
,207, ,1,30,3.5658300
,208, ,1,30,2.7984400
,209, ,1,30,2.9789200
,211, ,1,30,0.0000000
,217, ,1,30,2.3830500
,223, ,1,30,2.4831300
,225, ,1,30,1.3444800
,226, ,1,30,0.0000000
,227, ,1,30,2.8186400
,228, ,1,30,0.0000000
,234, ,1,30,2.3411801
,235, ,1,30,0.0000000
,237, ,1,30,2.6095500
,239, ,1,30,2.2492001
,242, ,1,30,0.0000000
,243, ,1,30,2.5213201
,250, ,1,30,0.0000000
,251, ,1,30,7.5375800
,261, ,1,30,0.0000000
,262, ,1,30,0.0000000
,267, ,1,30,6.5777602
,294, ,1,30,5.5555601
,316, ,1,30,0.0000000
,330, ,1,30,0.0000000
,333, ,1,30,3.9516599
,344, ,1,30,0.0000000
,349, ,1,30,2.7798100
,351, ,1,30,1.9407700
,352, ,1,30,3.1926899
,358, ,1,30,1.2993701
,367, ,1,30,0.0000000
,374, ,1,30,4.7643600
,375, ,1,30,0.0000000
,376, ,1,30,1.5604700
,383, ,1,30,0.0000000
,384, ,1,30,0.9465630
,385, ,1,30,0.0000000
,386, ,1,30,0.0000000
,391, ,1,30,8.1604404
,393, ,1,30,1.2444800
,401, ,1,30,0.0000000
,416, ,1,30,3.8758099
,419, ,1,30,3.5168099
,422, ,1,30,4.2975001
,423, ,1,30,0.0000000
,430, ,1,30,8.3333302
,434, ,1,30,4.0966401
