FID,ppt_ID,strmMap_id,upSlp_acre,wshed_name,imputed_sm,imputedPpt,base_fc
1939,2237,0,7431, ,10348,5040,13.5509005
1940,2075,0,13475, ,10108,3808,15.3141003
1941,2272,0,1685, ,32079,1061,1.4718100
1942,2275,0,578, ,10072,3752,9.0000000
1943,2276,0,3065, ,20088,4075,14.3451996
1944,2278,0,466, ,10339,5063,0.0000000
1945,2279,0,1665, ,10160,4136,8.0096102
1946,2257,0,1134, ,10050,3698,2.3430300
1947,2281,0,939, ,32463,1576,17.0181007
1948,2282,0,1691, ,32256,1418,28.1650009
1949,2284,0,419, ,10094,3781,2.1097901
1950,2249,0,164378, ,31742,1031,27.9001999
1951,2154,0,765, ,32577,1718,19.0000000
1952,2100,0,12353, ,10244,4690,25.4734993
1953,2277,0,568, ,0,0,0.0000000
1954,2290,0,592, ,0,0,0.0000000
1955,2208,0,920, ,30159,43,20.0000000
1956,2174,0,2569, ,31655,715,22.0086002
1957,2292,0,412, ,0,0,0.0000000
1958,2286,0,1537, ,30728,440,29.0000000
1959,2217,0,2076, ,32635,1776,24.0732002
1960,2139,0,1502, ,10180,4316,24.0000000
1961,2299,0,2910, ,0,0,0.0000000
1962,2295,0,24858, ,20118,4242,16.8836002
1963,2271,0,389, ,32298,1492,22.2262001
1964,2084,2863,1235, ,32597,1810,1.0000000
1965,2251,0,22689, ,20113,4227,28.1261005
1966,2264,2864,314192, ,32855,2131,27.4386997
1967,2224,0,3103, ,32415,1607,13.5598001
1968,2142,0,984, ,20080,3971,25.0254002
1969,2219,0,665, ,32546,1589,25.0375996
1970,2301,0,165694, ,31894,1155,28.0921993
1971,2280,2810,645, ,32757,2022,7.9875998
1972,2313,0,584, ,32717,1887,4.0000000
1973,2195,0,28298, ,10142,4077,29.5450001
1974,2288,0,4385, ,20107,4153,12.6191998
1975,2305,0,46531, ,10271,4634,28.7908001
1976,2309,0,628, ,20445,5507,44.0000000
1977,2300,2866,315527, ,32855,2131,27.3288002
1978,2118,2865,1122, ,10050,3698,1.0000000
1979,2298,0,793, ,10122,3993,5.9924302
1980,2312,0,443, ,10339,5063,6.0000000
1981,2107,0,1404, ,30442,182,21.0298996
1982,2263,0,10876, ,20072,3932,15.0105000
1983,2297,0,23221, ,20113,4227,27.9701996
1984,2243,0,455, ,10339,5063,8.0000000
1985,2283,0,432, ,10094,3781,2.0879600
1986,2317,0,2357, ,32912,2202,35.2215004
1987,2314,0,26045, ,20118,4242,28.4470005
1988,2252,0,553, ,10072,3752,14.9729004
1989,2291,0,12998, ,10108,3808,25.0587006
1990,2319,0,464, ,10339,5063,5.0107799
1991,2269,0,29376, ,32225,1378,25.5764008
1992,2323,0,991, ,10019,3501,6.0060501
1993,2315,0,8770, ,10379,5152,15.1693001
1994,2325,0,393, ,10037,3681,2.0101800
1995,2304,0,166637, ,31894,1155,28.1326008
1996,2326,0,478, ,32918,2097,54.0000000
1997,2327,0,29888, ,32225,1378,26.7229004
1998,2223,0,578, ,31237,663,23.0398006
1999,2316,0,365, ,0,0,0.0000000
2000,2303,0,3822, ,10067,3693,11.7623997
2001,2179,0,638, ,0,0,0.0000000
2002,2293,0,3653, ,31763,948,22.1308994
2003,2329,0,546, ,30214,140,14.9724998
2004,2334,0,1284, ,0,0,0.0000000
2005,2310,2872,316906, ,32855,2131,27.2245998
2006,2335,0,22815, ,20113,4227,17.3153000
2007,2336,2957,715, ,32577,1718,5.0139899
2008,2340,2925,8595, ,10379,5152,20.9374008
2009,2248,0,526, ,10147,4127,15.9695997
2010,2344,0,41491, ,10220,4494,28.4687004
2011,2274,0,21345, ,31281,602,14.5292997
2012,2324,0,488, ,10147,4127,1.0020500
2013,2343,0,42091, ,10220,4494,28.3768005
2014,2341,2932,906, ,10150,4033,37.0000000
2015,2338,9999,919, ,10150,4033,9.8509197
2016,2162,0,1426, ,0,0,0.0000000
2017,2320,2827,554, ,32735,1963,15.0270996
2018,2414,0,7781, ,10090,3714,17.0345993
2019,2347,0,3337, ,10432,5421,23.9927998
2020,2203,2877,335252, ,0,0,19.3985004
2021,2352,0,741, ,20042,3787,1.0040500
2022,2348,2884,325915, ,0,0,27.0407009
2023,2318,0,26789, ,10142,4077,28.0634003
2024,2287,0,575, ,0,0,0.0000000
2025,2353,0,697, ,10040,3697,0.0000000
2026,2302,0,583, ,10475,5471,22.0000000
2027,2355,0,167704, ,31894,1155,28.1643009
2028,2253,0,568, ,32362,1247,22.0387001
2029,2330,0,31125, ,32225,1378,27.0216999
2030,2350,0,836, ,31665,985,33.0000000
2031,2296,0,4495, ,20107,4153,28.2943001
2032,2339,0,413, ,32514,1745,34.9152985
2033,2342,0,13530, ,10108,3808,17.4818993
2034,2359,0,15964, ,10127,3958,20.0690002
2035,2362,0,24550, ,20133,4295,30.1056995
2036,2321,0,676, ,32757,2022,14.0000000
2037,2365,0,1007, ,20080,3971,23.9762001
2038,2356,0,168624, ,31894,1155,28.1366997
2039,2363,0,505, ,0,0,0.0000000
2040,2364,0,1111, ,10050,3698,35.0629997
2041,2367,0,652, ,0,0,0.0000000
2042,2337,2895,573, ,10072,3752,2.0000000
2043,2361,0,4965, ,10493,5778,29.0109005
2044,2331,0,700, ,20252,4996,41.0586014
2045,2240,0,1390, ,20427,5491,9.9928102
2046,2357,0,863, ,32463,1576,8.0092697
2047,2376,0,450, ,32242,1107,16.9622002
2048,2377,0,757, ,32958,2241,28.0000000
2049,2250,0,4582, ,20107,4153,22.4703007
2050,2333,0,4938, ,32800,1992,22.9592991
2051,2379,0,683, ,30964,423,21.0000000
2052,2380,2931,422, ,10094,3781,6.0000000
2053,2381,2946,7997, ,10090,3714,22.1863995
2054,2371,0,869, ,10150,4033,37.0000000
2055,2332,0,4531, ,20107,4153,10.9350996
2056,2374,0,606, ,32513,1764,5.0082502
2057,2159,0,2012, ,10262,4821,25.0249004
2058,2383,0,5645, ,10194,4476,22.8414993
2059,2369,0,426, ,20367,5294,4.0093899
2060,2372,0,2322, ,32506,1620,8.9586601
2061,2386,0,41426, ,10220,4494,31.3948994
2062,2390,0,12925, ,10108,3808,39.9199982
2063,2354,0,28125, ,10142,4077,27.3754997
2064,2389,0,366, ,32047,1371,29.0000000
2065,2366,0,169616, ,31894,1155,28.2513008
2066,2396,0,465, ,32265,1551,48.0000000
2067,2398,0,835, ,32705,1811,39.0466995
2068,2402,0,361, ,10396,5286,24.0000000
2069,2401,0,16898, ,10130,4034,16.2570000
2070,2403,0,170720, ,31894,1155,28.3262997
2071,2449,0,5292, ,10069,3770,22.3847008
2072,2133,0,607070, ,0,0,17.6952000
2073,2345,0,23132, ,20113,4227,13.8402004
2074,2397,0,1264, ,10020,3534,1.9984200
2075,2394,0,428, ,10094,3781,4.0000000
2076,2415,0,6041, ,10079,3782,20.5725994
2077,2416,0,5013, ,10078,3617,21.9937992
2078,2417,0,929, ,10150,4033,14.0300999
2079,2418,0,467, ,10339,5063,53.0000000
2080,2392,0,1137, ,31623,956,42.0000000
2081,2421,2967,655, ,20317,5036,32.0000000
2082,2422,2974,394, ,32898,2077,32.0000000
2083,2409,0,607491, ,0,0,17.6842995
2084,2370,0,5919, ,32834,1993,31.0286999
2085,2424,0,501, ,10147,4127,9.0179596
2086,2445,0,16074, ,10127,3958,16.7891998
2087,2346,0,1334, ,0,0,0.0000000
2088,2427,0,898, ,10150,4033,33.0000000
2089,2429,0,11035, ,10234,4664,39.6669006
2090,2360,0,33184, ,20193,4504,27.7598991
2091,2425,0,5248, ,10194,4476,24.8488998
2092,2406,0,76497, ,20359,5196,29.2052002
2093,2436,0,518, ,10147,4127,48.0000000
2094,2410,0,498, ,32593,1532,30.9377995
2095,2438,2954,397, ,32298,1492,8.0000000
2096,2404,0,171674, ,31894,1155,28.4064999
2097,2434,0,4348, ,32549,1417,19.6109009
2098,2440,2955,7406, ,10348,5040,22.8698006
2099,2430,0,879, ,10150,4033,0.0000000
2100,2441,0,347, ,20459,5613,41.0000000
2101,2443,0,609935, ,0,0,17.6159992
2102,2388,0,481, ,10339,5063,8.0166302
2103,2373,0,1293, ,10020,3534,1.9984500
2104,2384,0,5516, ,32454,1555,9.8074703
2105,2450,0,13945, ,30276,106,18.8652992
2106,2391,0,4522, ,20107,4153,7.7525401
2107,2423,0,436, ,31538,692,7.0160599
2108,2453,0,3269, ,10432,5421,30.9757996
2109,2510,0,1382, ,10180,4316,6.0217099
2110,2405,0,556, ,10072,3752,24.0000000
2111,2455,0,2834, ,20009,3647,16.0632000
2112,2419,0,878, ,10150,4033,23.9727001
2113,2458,0,358, ,0,0,0.0000000
2114,2459,0,3243, ,20088,4075,29.4332008
2115,2460,0,7573, ,10348,5040,43.6637001
2116,2461,0,23162, ,20113,4227,31.1989002
2117,2442,0,514, ,32381,1610,9.0000000
2118,2451,0,10063, ,10107,3923,8.9118605
2119,2426,0,8046, ,10090,3714,34.4425011
2120,2408,0,598, ,0,0,0.0000000
2121,2375,0,2236, ,32912,2202,16.0000000
2122,2462,0,728, ,10163,4168,2.0027499
2123,2466,0,377, ,10037,3681,10.0000000
2124,2467,0,13398, ,10108,3808,19.3414001
2125,2470,0,1392, ,30442,182,12.9906998
2126,2433,0,39014, ,20242,4717,27.7448006
2127,2473,0,1078, ,10050,3698,16.0000000
2128,2476,0,395, ,32570,1724,59.8480988
2129,2477,0,350, ,32298,1492,20.0571003
2130,2478,0,367, ,32298,1492,23.9346008
2131,2457,0,2938, ,20009,3647,0.2573180
2132,2482,0,6993, ,10348,5040,43.9283981
2133,2491,0,519, ,10147,4127,39.0000000
2134,2504,0,1661, ,10160,4136,0.0000000
