OID_,ppt_ID,shed,scen,treatment,delta
,5184, ,1,50,0
,5196, ,1,50,2.6152201
,5197, ,1,50,0
,5201, ,1,50,0
,5205, ,1,50,1.53836
,5245, ,1,50,1.61613
,5249, ,1,50,0.797147
,5251, ,1,50,0
,5252, ,1,50,0
,5253, ,1,50,0.861147
,5254, ,1,50,0.308642
,5267, ,1,50,0
,5268, ,1,50,0
,5281, ,1,50,0
,5282, ,1,50,1.5200599
,5284, ,1,50,0
,5286, ,1,50,1.5625
,5290, ,1,50,0
,5291, ,1,50,0.62403
,5293, ,1,50,1.46754
,5294, ,1,50,0
,5299, ,1,50,1.6129
,5300, ,1,50,0.967065
,5302, ,1,50,1.06874
,5303, ,1,50,2.8917401
,5304, ,1,50,1.56419
,5305, ,1,50,0
,5306, ,1,50,0
,5310, ,1,50,0.306655
,5326, ,1,50,1.66877
,5328, ,1,50,0.68579
,5340, ,1,50,0.306167
,5348, ,1,50,1.87485
,5349, ,1,50,0.832152
,5350, ,1,50,0.79252
,5357, ,1,50,0
,5379, ,1,50,1.8913701
,5380, ,1,50,2.41661
,5384, ,1,50,1.4514
,5385, ,1,50,1.13501
,5386, ,1,50,2.38095
,5399, ,1,50,0
,5405, ,1,50,1.4462301
,5406, ,1,50,4.1666598
,5407, ,1,50,0
,5412, ,1,50,2.2727301
,5414, ,1,50,0.793665
,5415, ,1,50,2.2578199
,5421, ,1,50,0.234958
,5425, ,1,50,1.96078
,5440, ,1,50,1.5728101
,5447, ,1,50,0.421406
,5460, ,1,50,1.61403
,5463, ,1,50,0
,5468, ,1,50,0.897453
,5469, ,1,50,2.2474201
,5471, ,1,50,0
,5474, ,1,50,0.143026
,5476, ,1,50,0.479007
,5491, ,1,50,0
,5497, ,1,50,2.24634
,5504, ,1,50,0
,5507, ,1,50,2.08008
,5513, ,1,50,1.4261
,5520, ,1,50,0.394179
,5540, ,1,50,2
,5544, ,1,50,0.784877
,5545, ,1,50,2.2349801
,5546, ,1,50,1.8353699
,5552, ,1,50,0
,5556, ,1,50,0.311201
,5557, ,1,50,0.142907
,5570, ,1,50,0.142904
,5605, ,1,50,1.42943
,5610, ,1,50,0
,5613, ,1,50,0
,5631, ,1,50,0.397711
,5643, ,1,50,1.33074
,5677, ,1,50,0
,5679, ,1,50,2.1856101
,5701, ,1,50,2.16816
,5712, ,1,50,1.60992
,5744, ,1,50,2.12147
,5778, ,1,50,1.7749701
,5862, ,1,50,1.34273
,5864, ,1,50,2.0497401
,5867, ,1,50,1.54114
,5868, ,1,50,1.58921
,5884, ,1,50,2.0351901
,5895, ,1,50,1.9548301
,5912, ,1,50,1.44954
,5918, ,1,50,1.9191
,5948, ,1,50,1.34998
,5949, ,1,50,1.78571
,5992, ,1,50,0
,6029, ,1,50,1.3429
,6057, ,1,50,2.00418
,6058, ,1,50,1.0881799
,6059, ,1,50,0
,6064, ,1,50,1.90307
,6093, ,1,50,1.34621
,6112, ,1,50,1.87429
,6130, ,1,50,0
,6179, ,1,50,0.319666
,6180, ,1,50,0.877998
,6209, ,1,50,0
,6210, ,1,50,2
,6226, ,1,50,1.83025
,6251, ,1,50,1.32938
,6268, ,1,50,0.429834
,6278, ,1,50,1.33251
,6312, ,1,50,0.428495
,6313, ,1,50,2.0833299
